GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
0500000US36001,36001,"Albany County, New York",124108,805,67725,1052,49692,1067,56383,1085,6.1,0.5,2.9,0.4,0.8,0.2,10.7,0.9,5.1,0.4,2.3,0.4,0.9,0.3,8.7,0.8,9.3,0.6,5.5,0.6,2.7,0.5,14.1,1.2,8.7,0.5,5.9,0.6,4.0,0.6,12.3,1.0,12.0,0.7,9.4,0.8,7.7,0.8,15.6,1.1,18.1,0.8,17.1,0.9,15.5,1.0,18.9,1.1,12.9,0.6,15.2,0.8,16.0,1.0,9.7,0.9,15.7,0.7,22.6,1.1,27.5,1.3,7.0,0.8,6.5,0.5,10.3,0.7,13.3,1.0,1.7,0.4,5.5,0.4,8.7,0.7,11.6,0.9,1.3,0.3,60904,963,86456,1801,103716,2129,38802,1388,81603,1532,105228,2573,123483,3180,50766,1701,33.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),34.7,(X)
0500000US36003,36003,"Allegany County, New York",18032,295,11670,228,8758,271,6362,313,7.1,0.9,4.6,0.9,2.1,0.7,13.8,2.0,6.6,0.8,3.5,0.7,2.1,0.7,12.6,1.6,12.8,0.9,8.7,1.0,5.5,0.8,20.8,1.8,11.7,0.8,10.4,1.0,9.4,1.1,14.5,1.7,17.7,1.1,18.2,1.3,18.9,1.4,16.5,1.7,19.5,1.3,23.1,1.8,23.7,1.8,13.1,1.7,12.6,1.1,15.4,1.4,18.2,1.6,5.7,1.3,8.9,0.7,12.0,1.1,14.8,1.3,2.5,0.8,1.8,0.3,2.6,0.5,3.2,0.6,0.2,0.1,1.2,0.3,1.6,0.4,2.1,0.5,0.4,0.2,44085,1080,54196,1391,62120,1700,27075,1511,54958,1287,64657,1873,72601,2191,34496,1169,30.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.8,(X)
0500000US36005,36005,"Bronx County, New York",490740,1515,322587,2660,135167,2506,168153,2383,15.6,0.4,11.9,0.4,3.8,0.4,25.4,0.8,9.3,0.3,7.6,0.3,3.9,0.3,13.2,0.6,13.6,0.3,13.9,0.4,10.1,0.6,14.1,0.6,11.1,0.3,11.6,0.4,9.9,0.5,10.1,0.5,13.3,0.4,13.7,0.5,12.9,0.7,12.5,0.7,15.1,0.4,16.1,0.4,18.9,0.8,12.9,0.6,9.0,0.3,9.7,0.4,13.2,0.6,6.1,0.4,8.3,0.3,9.8,0.4,16.2,0.8,4.3,0.4,2.6,0.1,3.3,0.2,6.1,0.5,0.9,0.2,1.9,0.1,2.4,0.2,5.0,0.3,0.6,0.1,35302,422,39667,549,61458,1286,22389,704,51445,485,56905,679,79989,1318,36354,927,38.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),41.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.4,(X)
0500000US36007,36007,"Broome County, New York",78738,763,47242,788,34276,745,31496,914,7.8,0.6,4.6,0.6,1.4,0.4,13.6,1.3,6.3,0.5,3.2,0.5,1.6,0.4,11.7,1.1,12.8,0.7,8.0,0.7,4.7,0.7,20.7,1.5,10.9,0.7,9.7,0.8,8.0,0.9,13.2,1.1,14.2,0.7,13.7,0.9,12.2,1.0,15.2,1.2,18.2,0.8,20.2,0.9,21.6,1.1,14.2,1.4,12.0,0.8,15.4,1.1,18.3,1.3,5.9,0.8,11.5,0.6,16.0,0.9,20.2,1.2,3.8,0.7,3.5,0.3,5.2,0.5,6.7,0.6,0.8,0.2,2.8,0.3,4.0,0.5,5.3,0.7,0.9,0.3,47744,1080,63072,1571,75489,1302,27425,1070,63302,1083,77520,1581,90632,1901,39330,1509,32.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.6,(X)
0500000US36009,36009,"Cattaraugus County, New York",31502,488,19813,471,14615,413,11689,526,6.6,0.7,3.6,0.5,1.5,0.4,13.0,1.6,7.1,0.7,3.8,0.7,2.1,0.5,13.3,1.6,13.6,0.9,9.0,1.0,5.9,0.9,22.3,1.8,12.8,0.9,11.6,1.1,9.4,1.0,15.0,1.8,15.3,0.9,16.0,0.9,15.7,1.0,14.1,1.5,19.5,1.0,22.7,1.1,24.4,1.4,12.6,1.6,11.3,0.8,14.9,1.1,17.6,1.3,4.4,1.1,10.4,0.7,13.8,1.1,17.8,1.4,4.0,1.0,2.2,0.3,3.1,0.5,3.8,0.6,0.7,0.3,1.2,0.3,1.5,0.3,1.8,0.4,0.7,0.4,43884,1373,55744,1588,65603,1906,25800,1052,55632,1171,65316,1450,74023,1740,36760,1853,28.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.5,(X)
0500000US36011,36011,"Cayuga County, New York",31039,423,19556,441,14105,387,11483,437,5.9,0.9,3.6,0.8,0.7,0.3,11.5,2.0,4.6,0.5,1.6,0.4,0.7,0.3,9.7,1.3,10.9,0.9,6.5,0.9,3.5,0.7,20.2,2.0,10.4,0.9,9.3,1.1,7.0,1.0,13.2,1.8,15.1,1.1,14.9,1.5,12.9,1.5,16.0,1.9,20.9,1.3,22.1,1.5,23.5,1.7,17.0,2.2,12.5,0.9,15.5,1.2,18.1,1.5,6.5,1.3,13.7,0.8,18.3,1.1,23.0,1.5,4.2,1.0,3.7,0.4,5.2,0.6,6.8,0.9,0.9,0.4,2.2,0.4,2.8,0.5,3.9,0.8,0.8,0.5,53114,1178,65261,1832,76789,1926,31250,1570,65579,1146,77363,1834,89586,2114,41646,2028,35.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.9,(X)
0500000US36013,36013,"Chautauqua County, New York",52718,676,32750,691,24062,641,19968,679,8.5,0.8,5.4,0.7,1.8,0.6,14.7,1.4,7.1,0.6,3.6,0.6,1.3,0.4,13.4,1.3,13.6,0.8,9.6,0.9,6.1,0.8,21.3,1.5,11.7,0.8,10.3,0.9,9.2,0.9,14.2,1.3,15.8,0.9,15.4,1.1,15.3,1.2,15.6,1.5,18.4,1.0,22.1,1.2,24.3,1.2,12.0,1.4,11.9,0.6,15.2,0.9,18.6,1.2,5.6,1.0,9.3,0.5,13.3,0.9,16.9,1.2,2.1,0.5,2.3,0.2,3.4,0.4,4.3,0.5,0.3,0.2,1.4,0.2,1.8,0.3,2.2,0.4,0.8,0.3,43211,1023,55428,1642,66307,1623,25357,1208,55820,1242,66902,1924,77221,2363,35286,1450,28.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.3,(X)
0500000US36015,36015,"Chemung County, New York",34887,480,21499,492,15794,469,13388,521,7.6,0.9,5.4,1.0,1.2,0.4,12.8,2.0,6.2,0.9,3.2,0.7,1.3,0.5,11.6,1.8,12.8,0.9,7.1,1.1,4.5,1.0,22.3,2.2,10.3,1.1,8.9,1.2,6.5,1.0,12.9,2.0,13.4,1.3,12.8,1.4,12.6,1.6,14.0,2.1,19.3,1.5,20.5,1.7,21.1,1.9,16.5,2.2,11.7,0.9,15.1,1.3,18.3,1.8,6.0,1.2,12.1,1.0,17.1,1.6,21.8,2.1,2.9,0.7,3.7,0.6,5.8,1.0,7.5,1.3,0.4,0.2,2.7,0.5,4.0,0.8,5.1,1.1,0.7,0.4,49578,1657,66192,2528,79839,2979,26888,1712,64475,1900,79569,2832,93581,3371,37495,1885,35.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.9,(X)
0500000US36017,36017,"Chenango County, New York",19837,355,12522,430,9448,370,7315,403,7.2,0.9,4.3,0.9,2.0,0.6,14.4,2.1,6.6,0.9,3.5,0.9,1.7,0.8,12.2,2.0,13.7,1.3,9.9,1.4,7.6,1.5,21.0,2.5,10.9,1.2,9.4,1.3,8.1,1.3,12.9,2.2,14.6,1.2,14.6,1.5,14.2,1.7,14.3,2.3,19.9,1.2,22.9,1.7,25.7,2.1,14.3,1.9,12.3,1.1,15.6,1.5,16.8,1.6,6.8,1.6,10.8,1.0,14.7,1.4,17.6,1.8,2.8,0.9,2.5,0.5,3.2,0.7,4.1,0.9,0.8,0.4,1.4,0.3,1.8,0.5,2.3,0.6,0.4,0.3,46979,1521,58675,2130,64573,1896,26772,2564,57930,1401,67833,1885,75787,2078,37348,2096,31.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.4,(X)
0500000US36019,36019,"Clinton County, New York",31648,496,20301,536,14636,495,11347,568,7.2,0.8,5.3,1.0,1.5,0.5,13.4,2.2,5.9,0.8,4.4,1.3,2.3,0.8,10.4,1.9,11.6,1.2,7.2,1.2,3.9,0.8,18.1,2.5,10.5,1.1,7.8,1.1,5.9,1.0,15.4,2.2,14.5,1.3,13.1,1.5,11.8,1.7,15.9,2.4,19.7,1.6,22.0,1.9,24.4,2.0,15.3,2.7,12.4,0.9,15.7,1.5,18.5,1.6,5.2,1.2,12.1,1.0,16.5,1.7,21.2,1.9,4.5,1.1,4.3,0.8,5.4,1.1,7.0,1.5,1.3,0.6,2.0,0.5,2.7,0.7,3.5,1.0,0.5,0.4,50502,1858,63857,2545,75288,2806,30333,2191,63804,1857,74664,2316,87436,2834,40857,3601,30.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.4,(X)
0500000US36021,36021,"Columbia County, New York",25295,529,16136,445,12101,445,9159,501,5.6,0.8,3.0,0.8,1.2,0.5,11.4,2.1,4.1,0.7,2.2,0.7,1.2,0.6,7.6,1.5,9.6,1.1,6.8,1.2,3.9,0.8,16.1,2.1,10.9,1.0,9.4,1.2,7.9,1.5,13.4,2.1,11.9,1.2,10.2,1.4,8.3,1.4,15.8,2.3,18.4,1.5,18.9,1.8,18.3,2.0,16.3,2.4,14.4,1.4,17.7,1.8,18.8,2.1,8.1,1.8,14.8,1.5,18.2,2.0,22.9,2.5,6.7,1.5,5.2,0.7,7.3,1.0,9.6,1.3,1.5,0.5,5.2,0.7,6.2,0.9,7.8,1.1,3.2,1.0,59916,2708,74213,2991,84911,2994,35910,1938,80682,3240,92524,3291,N,N,56414,6092,34.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.6,(X)
0500000US36023,36023,"Cortland County, New York",17683,338,10909,354,8143,332,6774,378,6.3,1.1,2.6,0.7,0.5,0.4,12.9,2.6,5.7,1.0,2.7,0.9,1.2,0.7,11.4,2.2,10.9,1.4,6.8,1.3,3.4,0.8,19.9,2.8,9.7,1.2,9.2,1.4,6.4,1.3,13.6,2.5,16.3,1.5,13.3,1.6,11.3,1.7,19.1,2.8,19.4,1.9,23.0,2.5,24.1,2.7,11.2,2.2,13.1,1.3,16.2,1.9,19.0,2.3,7.0,1.7,11.9,1.4,16.7,2.1,21.9,2.7,3.4,1.2,4.6,0.9,6.6,1.3,8.3,1.7,1.0,0.7,2.1,0.6,3.0,1.0,3.9,1.4,0.5,0.3,50910,1761,66391,3022,79072,3262,29633,2982,64736,2199,79289,3330,91895,3852,37758,2191,41.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),41.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),37.9,(X)
0500000US36025,36025,"Delaware County, New York",18817,450,11708,335,8826,395,7109,387,7.8,1.2,4.3,1.1,1.5,0.6,15.4,2.4,7.2,1.2,3.8,1.1,1.6,0.8,13.1,2.3,14.3,1.6,8.7,1.5,6.7,1.6,23.7,3.0,10.7,1.1,9.2,1.5,8.3,1.5,12.5,1.9,13.7,1.2,14.8,1.6,13.5,1.8,12.6,1.8,19.3,1.7,22.5,2.2,24.9,2.4,13.8,2.7,12.3,1.2,17.0,1.8,19.9,2.4,4.0,1.1,11.2,1.4,15.1,2.0,18.0,2.3,3.3,1.4,1.6,0.4,2.0,0.5,2.6,0.6,0.6,0.4,2.0,0.5,2.5,0.8,3.1,1.0,1.0,0.5,46055,2281,58699,2807,67902,3669,23660,1953,58038,2192,68590,2978,77518,3622,37726,3246,32.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.4,(X)
0500000US36027,36027,"Dutchess County, New York",106949,932,71696,1010,55594,974,35253,1022,4.2,0.4,2.3,0.4,0.9,0.3,8.8,1.0,4.0,0.4,1.7,0.3,0.9,0.2,8.7,1.1,7.6,0.6,4.1,0.5,2.5,0.4,15.4,1.3,8.0,0.6,6.3,0.7,3.8,0.5,11.9,1.1,10.8,0.6,9.1,0.8,7.4,0.7,14.3,1.0,16.7,0.7,16.4,0.9,15.8,1.0,17.5,1.4,13.9,0.7,15.6,0.9,16.3,0.9,10.5,1.1,18.4,0.7,23.1,0.9,26.4,1.0,7.9,1.0,8.7,0.5,11.5,0.7,13.8,0.8,2.8,0.6,7.6,0.5,9.9,0.7,12.3,0.8,2.2,0.5,72706,1431,90856,1524,103226,1525,40397,1245,93359,2044,110011,2548,123772,2847,56081,2483,35.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.4,(X)
0500000US36029,36029,"Erie County, New York",382822,1376,228584,1851,159957,1781,154238,1938,8.2,0.3,4.8,0.3,1.5,0.2,14.0,0.7,5.7,0.3,2.9,0.2,1.1,0.2,10.3,0.6,10.8,0.3,6.6,0.3,3.8,0.3,17.3,0.6,9.8,0.3,7.8,0.3,5.2,0.3,13.1,0.6,13.0,0.3,12.2,0.4,10.1,0.5,14.6,0.6,17.6,0.5,19.1,0.5,19.1,0.6,15.2,0.6,12.8,0.4,15.7,0.5,18.4,0.7,7.9,0.5,13.8,0.3,18.9,0.5,24.4,0.7,5.4,0.4,4.7,0.2,6.7,0.3,9.1,0.4,1.3,0.2,3.6,0.2,5.4,0.3,7.3,0.4,1.0,0.2,52744,482,70078,789,87169,872,31068,618,70408,726,87267,1080,103848,1179,42978,767,33.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.1,(X)
0500000US36031,36031,"Essex County, New York",15298,398,10010,385,7822,340,5288,348,5.7,1.1,3.7,1.0,1.3,0.5,11.3,2.6,4.8,0.9,1.2,0.6,0.6,0.5,12.3,2.5,10.1,1.2,6.8,1.2,4.5,1.0,16.7,3.1,10.3,1.3,8.1,1.3,6.5,1.3,15.0,2.6,15.7,1.5,13.7,1.7,12.8,1.9,19.7,2.7,20.6,1.7,23.8,2.0,25.8,2.4,12.2,2.5,14.3,1.6,17.7,1.9,19.2,2.4,7.5,2.5,12.1,1.4,16.3,2.0,18.4,2.1,3.8,1.5,4.4,1.0,5.6,1.3,7.2,1.6,1.1,0.7,2.1,0.6,3.0,0.9,3.6,1.1,0.4,0.3,53244,2206,66115,2196,73548,2610,30858,3190,67970,3114,81313,4288,90098,5076,39479,2757,31.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.9,(X)
0500000US36033,36033,"Franklin County, New York",19299,406,12438,428,8932,358,6861,437,10.0,1.5,7.0,1.6,1.6,0.6,18.3,2.9,6.6,1.1,3.5,1.1,1.1,0.4,12.1,2.2,10.4,1.1,7.5,1.3,4.6,1.1,16.4,2.1,9.7,1.1,8.0,1.4,6.7,1.3,13.3,2.4,13.5,1.5,13.6,1.5,12.5,1.5,14.5,2.7,20.8,1.5,24.7,2.2,28.0,2.5,12.2,1.8,13.0,1.4,16.0,2.0,19.2,2.3,6.0,2.0,10.8,1.2,12.8,1.4,17.0,1.8,5.4,1.9,3.0,0.7,4.0,1.1,5.5,1.5,0.8,0.6,2.2,0.5,2.9,0.8,3.8,1.1,0.9,0.7,49782,1942,59220,2353,70082,3149,26825,2262,61437,2370,71030,3103,84435,3765,39508,3673,42.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),44.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),38.1,(X)
